mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11974,0.1613043248653412,0.2728254199028015
CD,96,42,11975,0.15175248682498932,0.2704543173313141
CD,96,42,11976,0.146673783659935,0.263472318649292
CD,96,42,11977,0.1613958179950714,0.27455365657806396
CD,96,42,11978,0.1652376353740692,0.28636521100997925
CD,96,42,11979,0.16898588836193085,0.2884986102581024
CD,96,42,11980,0.16158559918403625,0.28016069531440735
CD,96,42,11981,0.1673489660024643,0.2805621922016144
CD,96,42,11982,0.17983059585094452,0.27646997570991516
CD,96,42,11983,0.17690977454185486,0.2820937931537628
CD,96,42,11984,0.17455630004405975,0.27868011593818665
CD,96,42,11985,0.17391975224018097,0.27779728174209595
CD,96,42,11986,0.17821723222732544,0.2865305542945862
CD,96,42,11987,0.18632782995700836,0.29210183024406433
CD,96,42,11988,0.16768993437290192,0.28033703565597534
CD,96,42,11989,0.16969744861125946,0.281523734331131
CD,96,42,11990,0.1630389243364334,0.27484968304634094
CD,96,42,11991,0.16367219388484955,0.2726832926273346
CD,96,42,11992,0.16653385758399963,0.26891905069351196
CD,96,42,11993,0.16308020055294037,0.26745080947875977
CD,96,42,11994,0.16505064070224762,0.2728479206562042
CD,96,42,11995,0.17080071568489075,0.2780657410621643
CD,96,42,11996,0.15940231084823608,0.263239324092865
CD,96,42,11997,0.1668333113193512,0.2730354070663452
CD,96,42,11998,0.17231738567352295,0.2754283845424652
CD,96,42,11999,0.17050457000732422,0.27239084243774414
CD,96,42,12000,0.16694459319114685,0.2695447504520416
CD,96,42,12001,0.16293911635875702,0.26265305280685425
CD,96,42,12002,0.17583082616329193,0.2778681814670563
CD,96,42,12003,0.19020359218120575,0.2815248966217041
CD,96,42,12004,0.19107960164546967,0.2797383666038513
CD,96,42,12005,0.18952243030071259,0.2771254777908325
CD,96,42,12006,0.19759324193000793,0.2848881483078003
CD,96,42,12007,0.20758427679538727,0.28952422738075256
CD,96,42,12008,0.2268269956111908,0.30489835143089294
CD,96,42,12009,0.23526880145072937,0.3009321391582489
CD,96,42,12010,0.2402806580066681,0.3114079236984253
CD,96,42,12011,0.2463638037443161,0.30804353952407837
CD,96,42,12012,0.2357458621263504,0.3046010434627533
CD,96,42,12013,0.2317478060722351,0.3006044924259186
CD,96,42,12014,0.23593473434448242,0.30304211378097534
CD,96,42,12015,0.22677363455295563,0.30114346742630005
CD,96,42,12016,0.2285711020231247,0.29702121019363403
